,name,step,client,treeHeight,numConditions,executionTime_mean,executionTime_std,peakMemoryUsage_mean,peakMemoryUsage_std,meanMemoryUsage_mean,meanMemoryUsage_std,stdMemoryUsage_mean,stdMemoryUsage_std,mode,executionTime_meanS,peakMemoryUsage_meanM,peakMemoryUsage_meanG,provePeakMemoryG,verifyPeakMemoryG,verifyTimeS,proveTimesS
5,MultiProof,prove,nargo,16,6,45040.333333333336,1688.5734610414008,1165819904.0,19929794.19075591,396298645.45953673,48468456.00372588,121670743.60410546,19459998.659026526,MultiProof,45.040333333333336,1111.8125,1.08575439453125,1.08575439453125,1.08575439453125,45.040333333333336,45.040333333333336
35,MultiProof,prove,noir_rs,16,6,140174.0,315.9572755927611,1256505344.0,6504509.90398754,795992721.8795217,3707981.459883392,510578117.2860753,863616.4119503151,MultiProof,140.174,1198.296875,1.1702117919921875,1.1702117919921875,1.1702117919921875,140.174,140.174
6,MultiProof,prove,nargo,16,7,53546.666666666664,2977.159104470792,1151713280.0,2179811.002508245,418024385.4231462,62046126.43118472,124089497.82924981,25637107.084617127,MultiProof,53.54666666666667,1098.359375,1.0726165771484375,1.0726165771484375,1.0726165771484375,53.54666666666667,53.54666666666667
36,MultiProof,prove,noir_rs,16,7,164640.33333333334,751.7721285957189,1274462208.0,16333073.107183719,804040770.3755407,3626543.9930101936,510525649.8640261,2466574.652449639,MultiProof,164.64033333333333,1215.421875,1.1869354248046875,1.1869354248046875,1.1869354248046875,164.64033333333333,164.64033333333333
7,MultiProof,prove,nargo,16,8,61565.666666666664,6170.668224214728,1158195882.6666667,25737988.150853205,428522598.1218757,123653044.71939394,132309488.77466446,47780254.26482449,MultiProof,61.565666666666665,1104.5416666666667,1.0786539713541667,1.0786539713541667,1.0786539713541667,61.565666666666665,61.565666666666665
37,MultiProof,prove,noir_rs,16,8,189258.66666666666,1380.220393029071,1271272789.3333333,14712634.344626268,800480833.8867499,4512571.10133049,509773565.54558784,3538191.130341844,MultiProof,189.25866666666667,1212.3802083333333,1.1839650472005208,1.1839650472005208,1.1839650472005208,189.25866666666667,189.25866666666667
8,MultiProof,prove,nargo,16,9,71899.0,170.7132097993591,1170658645.3333333,16246207.29864315,475462834.1048476,2561387.790195149,150034580.57944414,1280202.0007667101,MultiProof,71.899,1116.4270833333333,1.0902608235677083,1.0902608235677083,1.0902608235677083,71.899,71.899
38,MultiProof,prove,noir_rs,16,9,211459.0,683.2781278513165,1266728960.0,6258237.638246729,797162378.0781189,5836868.434368255,506777156.6867539,546053.3268165775,MultiProof,211.459,1208.046875,1.1797332763671875,1.1797332763671875,1.1797332763671875,211.459,211.459
9,MultiProof,prove,nargo,16,10,78330.33333333333,60.33517492585322,1163285845.3333333,20762208.793375816,447428622.85152173,5182383.162046707,141382358.36231315,1174551.4677995502,MultiProof,78.33033333333333,1109.3958333333333,1.0833943684895833,1.0833943684895833,1.0833943684895833,78.33033333333333,78.33033333333333
39,MultiProof,prove,noir_rs,16,10,234108.33333333334,1019.3901771811077,1275882154.6666667,5811410.419920225,802632914.7656277,3544567.027185435,510761947.1821702,1559084.0329650245,MultiProof,234.10833333333335,1216.7760416666667,1.1882578531901042,1.1882578531901042,1.1882578531901042,234.10833333333335,234.10833333333335
10,MultiProof,prove,nargo,24,1,8724.333333333334,2117.3852585992313,610041856.0,517670896.69888294,380977802.8457723,196425626.42623204,114986804.92124657,96756191.92024834,MultiProof,8.724333333333334,581.78125,0.568145751953125,0.568145751953125,0.568145751953125,8.724333333333334,8.724333333333334
40,MultiProof,prove,noir_rs,24,1,26300.666666666668,356.7300566721756,1282572288.0,6347335.8414906645,758957766.0683323,8138159.4190115305,533163161.63277954,3992439.9713321356,MultiProof,26.300666666666668,1223.15625,1.194488525390625,1.194488525390625,1.194488525390625,26.300666666666668,26.300666666666668
11,MultiProof,prove,nargo,24,2,18775.0,3536.0424205600248,909699754.6666666,525696735.58038175,455469422.5397131,189483749.7537821,136431595.343667,87649487.30465597,MultiProof,18.775,867.5572916666666,0.8472239176432291,0.8472239176432291,0.8472239176432291,18.775,18.775
